IPC_Mexico,USD_MXN
-0.00847167,0.00205114
-0.01648003,0.02358095
-0.04743288,0.00468260
0.00960822,-0.00571315
0.04191613,-0.00634341
-0.02614196,0.01056312
-0.01869246,-0.01406954
-0.00465071,0.02319020
0.03356999,-0.01801709
0.01399063,-0.01043932
0.05862616,-0.02818548
0.02987755,-0.00854073
-0.00577675,-0.02787641
0.01517172,-0.01510999
-0.00122247,0.02280474
-0.01197192,-0.00592948
0.04952589,0.00453993
-0.00511569,0.00839194
0.00148883,-0.00895395
0.01320516,-0.00289211
-0.01111585,0.00895179
-0.03940845,-0.00392583
0.00493399,-0.00750252
0.01283934,-0.01832258
0.03374063,-0.00309872
0.01789069,-0.02301956
-0.00606448,0.00521532
-0.00887229,-0.01049507
-0.00450936,-0.00799858
0.06177761,-0.01969666
0.00364000,0.00940546
-0.00261491,-0.01640652
0.01488498,0.00605413
0.00205477,0.00157270
-0.02954643,0.02568006
-0.01731410,-0.02186559
0.01232283,0.00676327
0.01613176,-0.00643654
0.03390617,0.01182641
-0.03400791,0.05147496
-0.00756874,-0.01493600
0.01905832,-0.00589469
-0.00820822,0.00559789
0.04967083,-0.04370235
0.01792257,0.00406107
0.02010744,-0.01180593
-0.01333747,0.00290753
0.02081585,-0.01194282
-0.00593650,0.02206083
-0.01034988,-0.00532606
-0.02311578,0.00863108
0.01077823,-0.00925150
-0.00274705,0.00225291
0.02511996,-0.01714505
0.01694854,-0.00472814
0.00225588,0.00600256
-0.02398827,0.00579129
0.01135286,0.00325963
0.00437838,0.00000000
0.01806469,0.00073725
-0.00538252,0.00735033
0.00615982,-0.00353595
-0.01337121,-0.00797903
0.03131168,0.00979393
0.00310997,-0.00405781
-0.02137166,0.01198190
0.00391540,-0.01136760
0.00664429,0.00646100
0.00079730,0.01159271
0.00697636,0.01244565
0.00303398,-0.00066939
0.00748191,-0.01674741
0.00342967,0.00359274
-0.02225403,-0.00270270
-0.02747719,0.00640139
-0.00305486,-0.00318438
0.00782453,-0.00220824
-0.00271230,-0.00468624
-0.04035232,-0.00235135
0.00776363,0.00784389
0.00910239,-0.00904800
0.02229053,-0.00350018
0.00872705,-0.00578249
0.00062531,0.00154178
-0.00430567,0.00012896
0.00636620,-0.00416680
-0.01945689,0.01007542
-0.00025242,-0.00469532
-0.01267704,0.00279265
-0.01624371,0.01135468
0.00465700,0.01081327
0.00701819,0.00073892
0.00093001,0.00922714
0.01242243,0.00304719
0.01609761,0.00155292
0.04009153,-0.01370166
0.01563438,0.00021416
0.00024867,-0.01316304
0.02084031,-0.00542393
-0.01071157,0.00092479
0.01086946,-0.00647661
0.01948352,0.00142105
-0.00595120,-0.00445893
0.00631975,0.00636814
0.00132110,-0.00337571
-0.01252657,0.00249320
0.01101783,-0.00002260
0.00866168,-0.00781786
0.02371423,-0.00472636
0.00638706,0.00321939
0.00760330,-0.00737720
-0.01002855,0.00046031
0.01347385,-0.00837165
0.00445322,-0.00232294
-0.01798496,0.00868314
0.01056309,-0.00490729
0.00211446,-0.00715363
-0.01071446,-0.00151788
-0.02015659,0.01231002
0.00892504,-0.00534673
0.00196033,-0.00348725
0.01245442,-0.00023286
0.01296729,-0.00417843
-0.01082141,0.00575343
0.00004250,0.00868381
0.00737801,0.01028391
0.00792272,0.00660374
0.00570367,-0.00023432
-0.01656910,0.00923919
-0.01362924,0.01995999
0.00733111,0.00115925
0.00701386,-0.00825381
0.00564869,-0.01532491
0.00969162,0.00277398
0.02096344,-0.00119865
-0.00311437,0.00653736
0.00747607,-0.00638739
0.00443681,-0.00165019
-0.00223007,0.00239931
0.00819654,-0.00387175
0.01316864,-0.00237097
-0.00252572,-0.00225580
-0.01124595,0.01042138
-0.00316236,-0.00307681
-0.01894970,0.00250111
-0.01722507,0.01023092
0.01030575,0.00338474
0.02207751,-0.00153579
0.00102048,-0.00033252
-0.00681063,-0.00164972
-0.02227608,0.01827475
0.00315716,-0.00942944
0.01850845,-0.00119691
0.01616472,-0.01068850
0.00245194,-0.00730440
0.00454159,-0.00931179
0.00470020,0.00292541
0.01440057,-0.00459554
0.00444190,-0.00902585
0.00878166,-0.00278953
0.00441466,0.00055090
-0.00944000,0.00236075
0.00651414,-0.01284108
0.00238438,0.00759251
-0.00361573,-0.00710566
-0.00412943,-0.00347492
-0.00469474,0.01413367
-0.01108754,0.01624067
-0.03246443,-0.00549022
-0.02214296,0.00676795
0.01992270,-0.01945419
-0.02079055,0.00832091
0.00836053,0.00754402
0.01865651,0.00257472
0.01030435,-0.00100050
0.00447217,0.00890895
0.02570159,-0.01010639
0.00462149,-0.00584185
0.01000048,-0.00272468
-0.01092170,0.00160236
0.00784436,-0.01127078
0.01275962,0.00128840
-0.01100228,-0.00346253
-0.00772374,0.00416738
-0.00491705,0.00063546
0.01487777,-0.00766016
-0.00528861,-0.00635227
0.01290165,-0.00466803
-0.02964725,0.01520727
0.01070254,-0.00678180
0.00588541,0.00007730
0.02530832,-0.00651617
0.01131223,-0.01141991
-0.00450566,-0.00501927
0.00430639,0.00123348
-0.00063002,0.00067145
-0.01174952,0.02027696
-0.00126789,-0.00272755
0.00774972,0.00349334
-0.00046727,-0.00388916
0.00338566,-0.01130354
-0.00335713,-0.00346810
0.00168028,0.00195183
-0.00024536,0.01225297
-0.00358531,-0.00295566
-0.00109502,0.00666905
0.01377576,-0.00320088
0.00648969,0.00143511
0.00302464,-0.00363441
0.00190244,0.01306233
0.00048375,-0.00115253
-0.00545676,0.00421937
-0.01016808,0.00162922
0.01966982,-0.01635118
-0.00078696,-0.00475037
0.00297121,-0.00558113
0.00711472,0.00162351
-0.00523167,-0.00597377
0.00131677,0.00388700
-0.00434271,0.00526355
0.00132314,-0.00837823
-0.00324860,-0.00187665
-0.01437987,0.00167965
0.00680919,-0.00262721
-0.00029804,-0.00154960
-0.01388308,0.00892461
-0.02593948,0.01539239
-0.01207021,0.00158174
-0.01193729,-0.00885934
0.00610311,0.00106514
-0.00132971,0.00596529
0.00652925,0.00794733
-0.01371655,0.00257909
0.01583369,-0.01623534
0.01320368,0.00584025
-0.02208265,0.01571590
0.00088250,-0.00200153
0.00061061,0.00783848
0.00550015,-0.01815277
-0.00235297,0.00865606
0.00323356,-0.01315344
0.00517724,-0.00002320
0.00105022,0.00003170
0.01935030,-0.00727155
0.00778606,0.00239506
0.00869994,0.00133620
0.00004100,-0.00688250
-0.00429146,0.00042176
-0.00576352,0.00905658
-0.00193911,-0.00929947
-0.00439612,-0.00072590
-0.00046017,-0.00192478
0.00411995,-0.00306700
0.00908491,-0.00005500
0.00926902,-0.00232031
-0.00469485,0.00066132
0.00725667,-0.00658474
0.00257834,0.00329779
-0.00018758,-0.00333738
-0.00025870,-0.00291946
0.00298515,-0.00151855
-0.00076368,-0.00396248
0.00446694,-0.00016777
0.00227100,-0.00510250
0.00521614,0.00494270
0.00160660,0.00378067
0.00360251,-0.00347702
0.00659368,-0.00255168
-0.00602209,0.00758782
0.00010130,-0.00277795
-0.00049824,-0.00396927
0.00806126,-0.00604403
-0.00049811,-0.00534388
-0.00399099,0.00004040
0.01143132,-0.00970269
0.00451654,-0.00187325
-0.00500818,0.00647203
-0.00193453,-0.00659487
0.00811478,-0.00308383
0.00034092,-0.00179231
-0.00098569,0.00239180
0.00868187,0.00020518
0.00059491,-0.00143736
-0.01513822,0.00805539
-0.00541659,-0.00234200
0.01110418,-0.00229172
-0.00879195,-0.00292858
0.00420366,0.00224848
0.00578625,-0.00243748
-0.00242929,-0.00279770
