Date,LogRend_SIP500,LogRend_USD/MXN
6/14/2019,-0.001612812,0.001111151
6/17/2019,0.000931315,-0.002594543
6/18/2019,0.00967049,0.001817424
6/19/2019,0.002980717,-0.002264866
6/20/2019,0.009427605,-0.006055074
6/21/2019,-0.001260016,-0.000973847
6/24/2019,-0.001733388,0.005785064
6/25/2019,-0.009541776,0.005005024
6/26/2019,-0.001234696,0.001202716
6/27/2019,0.003815886,-0.004239421
6/28/2019,0.005740942,0.001887257
7/1/2019,0.007643019,-0.001871609
7/2/2019,0.002923847,-0.001940526
7/3/2019,0.007643096,-0.002930938
7/5/2019,-0.001807534,-0.002111087
7/8/2019,-0.004847173,-0.000470528
7/9/2019,0.001235793,-0.003248735
7/10/2019,0.004500547,0.011926982
7/11/2019,0.00228262,-0.001669387
7/12/2019,0.004609534,-0.003205101
7/15/2019,0.000175854,-0.004188618
7/16/2019,-0.003409585,-0.001137768
7/17/2019,-0.006552665,0.006495782
7/18/2019,0.003575598,-0.001661977
7/19/2019,-0.006195889,-0.005324288
7/22/2019,0.002824702,0.002944516
7/23/2019,0.006824145,0.001398088
7/24/2019,0.004677193,0.006763077
7/25/2019,-0.005276296,-0.005755173
7/26/2019,0.007360536,-0.001690965
7/29/2019,-0.001617422,0.000250189
7/30/2019,-0.002581985,0.000826702
7/31/2019,-0.010945207,0.000456737
8/1/2019,-0.009039528,0.004246905
8/2/2019,-0.007309389,0.003849142
8/5/2019,-0.030230182,0.006647712
8/6/2019,0.012933024,0.017523794
8/7/2019,0.000766582,-0.004299341
8/8/2019,0.018588462,0.001857358
8/9/2019,-0.006638593,-0.010478807
8/12/2019,-0.012393809,-0.000105546
8/13/2019,0.015018346,0.008146618
8/14/2019,-0.029730352,-0.010561799
8/15/2019,0.002461237,0.014137818
8/16/2019,0.014323058,-0.002856268
8/19/2019,0.012033176,0.001208479
8/20/2019,-0.007946215,0.012700439
8/21/2019,0.00821298,-0.006188279
8/22/2019,-0.000506203,-0.003987582
8/23/2019,-0.026288881,0.006475564
8/26/2019,0.010923113,0.010280434
8/27/2019,-0.003208322,-0.003425095
8/28/2019,0.006524152,0.001909361
8/29/2019,0.012607482,0.008246645
8/30/2019,0.000642581,-0.000924013
9/3/2019,-0.006923009,0.000181421
9/4/2019,0.010783725,-0.008170233
9/5/2019,0.012925913,-0.013872838
9/6/2019,0.000910191,0.001015473
9/9/2019,-9.40E-05,-0.008385964
9/10/2019,0.000322252,0.000734612
9/11/2019,0.007203672,-0.003252424
9/12/2019,0.002875016,0.000379499
9/13/2019,-0.000724677,-0.003642634
9/16/2019,-0.003140513,-0.001565902
9/17/2019,0.002578425,0.001251897
9/18/2019,0.000342633,-0.003589884
9/19/2019,2.00E-05,0.002265813
9/20/2019,-0.004907599,0.001674105
9/23/2019,-9.69E-05,-0.000530254
9/24/2019,-0.008451989,0.002936135
9/25/2019,0.006139685,-0.002071376
9/26/2019,-0.002431871,0.006732891
9/27/2019,-0.005330535,0.004590596
9/30/2019,0.00503491,0.001101766
10/1/2019,-0.012334127,0.002847752
10/2/2019,-0.018065404,0.003489309
10/3/2019,0.007940305,-0.001015454
10/4/2019,0.014116785,-0.006625898
10/7/2019,-0.004488352,-0.00675197
10/8/2019,-0.01568316,0.002563222
10/9/2019,0.009063297,0.002770701
10/10/2019,0.006395202,-0.002055612
10/11/2019,0.01087958,-0.007698727
10/14/2019,-0.001388082,-0.006535445
10/15/2019,0.009906445,-0.002008931
10/16/2019,-0.002001545,-0.002010396
10/17/2019,0.002759022,-0.001860712
10/18/2019,-0.003927046,-0.000787002
10/21/2019,0.006848114,-0.003243006
10/22/2019,-0.003575049,0.00021438
10/23/2019,0.002843103,0.00098741
10/24/2019,0.001918605,-0.002044293
10/25/2019,0.00406443,0.000852978
10/28/2019,0.00556582,-0.004119801
10/29/2019,-0.000832752,0.003716958
10/30/2019,0.003248089,-0.00015701
10/31/2019,-0.003027439,-0.000747658
11/1/2019,0.009615931,0.007611474
11/4/2019,0.003697246,-0.008026438
11/5/2019,-0.001186403,0.004334371
11/6/2019,0.000702251,0.000985533
11/7/2019,0.002726375,-0.001883294
